SOIL_ID,SNAM
156,DSOLMap_156
216,DSOLMap_216
255,DSOLMap_255
314,DSOLMap_314
317,DSOLMap_317
318,DSOLMap_318
350,DSOLMap_350
353,DSOLMap_353
354,DSOLMap_354
361,DSOLMap_361
362,DSOLMap_362
365,DSOLMap_365
366,DSOLMap_366
402,DSOLMap_402
745,DSOLMap_745
746,DSOLMap_746
749,DSOLMap_749
750,DSOLMap_750
782,DSOLMap_782
785,DSOLMap_785
786,DSOLMap_786
789,DSOLMap_789
792,DSOLMap_792
797,DSOLMap_797
798,DSOLMap_798
833,DSOLMap_833
834,DSOLMap_834
869,DSOLMap_869
876,DSOLMap_876
877,DSOLMap_877
894,DSOLMap_894
929,DSOLMap_929
930,DSOLMap_930
937,DSOLMap_937
938,DSOLMap_938
941,DSOLMap_941
942,DSOLMap_942
978,DSOLMap_978
1326,DSOLMap_1326
1361,DSOLMap_1361
1362,DSOLMap_1362
1365,DSOLMap_1365
1374,DSOLMap_1374
1406,DSOLMap_1406
1409,DSOLMap_1409
1410,DSOLMap_1410
1413,DSOLMap_1413
1570,DSOLMap_1570
1571,DSOLMap_1571
1715,DSOLMap_1715
1727,DSOLMap_1727
1728,DSOLMap_1728
1739,DSOLMap_1739
1740,DSOLMap_1740
1757,DSOLMap_1757
1793,DSOLMap_1793
1800,DSOLMap_1800
1845,DSOLMap_1845
1871,DSOLMap_1871
1872,DSOLMap_1872
1874,DSOLMap_1874
1877,DSOLMap_1877
1881,DSOLMap_1881
1883,DSOLMap_1883
1884,DSOLMap_1884
