Columns id,wgn_id,month,tmp_max_ave,tmp_min_ave,tmp_max_sd,tmp_min_sd,pcp_ave,pcp_sd,pcp_skew,wet_dry,wet_wet,pcp_days,pcp_hhr,slr_ave,dew_ave,wnd_ave,wgn_id
1,1,1,31.9106511,21.55601136,0.474357665,1.228395603,0.04044592,0.258645185,10.78787386,0.039848197,0.173624288,225,10,1,1,1,
2,1,2,32.90343968,22.88814778,0.514058419,0.859391635,0.22506237,1.26031843,8.135501409,0.056133056,0.137214137,187,10,1,1,1,
3,1,3,32.38327233,22.15494214,0.627843141,1.096023403,0.33759962,2.136794607,12.40923042,0.055028463,0.119544592,197,10,1,1,1,
4,1,4,31.18770536,20.67810276,0.675574604,1.214555998,0.2005,1.730603724,19.43661092,0.049019608,0.114705882,176,10,1,1,1,
5,1,5,29.22940641,19.21080234,1.15600778,1.733173646,0.016185958,0.163091767,14.67307575,0.024667932,0.10626186,149,10,1,1,1,
6,1,6,26.95517074,18.00544087,1.252065544,1.235158254,0.003945044,0.063904866,15.8565309,0.009803922,0.090196078,104,10,1,1,1,
7,1,7,25.97411066,17.26421573,1.117574922,1.228004915,0.003017078,0.035499498,17.35307325,0.016129032,0.141366224,168,10,1,1,1,
8,1,8,25.69296074,17.00679954,0.879212795,1.087564002,0.00142315,0.00596486,7.82334633,0.0056926,0.14516129,159,10,1,1,1,
9,1,9,26.83662118,16.96716963,0.877366164,0.813657822,0.002649657,0.032809594,28.02789031,0.011764706,0.17745098,197,10,1,1,1,
10,1,10,27.30873648,17.33285896,0.840293981,0.933939583,0.011356736,0.180050536,24.56492891,0.018026565,0.116698292,147,10,1,1,1,
11,1,11,28.17383194,17.74990042,0.664072198,0.859639804,0.026519608,0.248877647,14.670013,0.024509804,0.116666667,147,10,1,1,1,
12,1,12,30.13762342,19.60808939,0.655817341,1.420401698,0.092855787,0.852353818,14.21897567,0.036053131,0.130929791,186,10,1,1,1,
13,2,1,23.15634129,14.1868648,0.811233122,0.911623453,4.560749526,7.235504519,3.156476998,0.133776091,0.523719165,693,10,1,1,1,
14,2,2,23.07617537,14.59228539,0.736877792,0.70546888,8.243596674,11.57830836,2.779772552,0.104989605,0.682952183,759,10,1,1,1,
15,2,3,24.07816304,14.33285364,0.580490682,0.739475347,8.361252372,11.48966995,2.126483494,0.120493359,0.599620493,759,10,1,1,1,
16,2,4,24.00838004,14.24376787,0.600182773,0.553225458,4.892990196,8.066981588,2.841788188,0.149019608,0.474509804,637,10,1,1,1,
17,2,5,24.03841596,14.23615273,0.619196758,0.600330779,1.396641366,3.578912109,4.353889952,0.147058824,0.174573055,340,10,1,1,1,
18,2,6,23.76590066,14.18009848,0.556922815,0.541080448,0.420834151,2.077390684,9.550886406,0.06372549,0.041176471,107,10,1,1,1,
19,2,7,24.02453237,13.08952488,0.641111039,0.575619253,0.152068311,0.854704811,10.86968436,0.040796964,0.041745731,87,10,1,1,1,
20,2,8,24.37992615,13.09160641,0.437000186,0.528486716,0.091328273,0.529431005,8.160817839,0.025616698,0.021821632,50,10,1,1,1,
21,2,9,24.82051325,13.13248314,0.582970859,0.517390902,0.287517174,1.395805328,10.49389757,0.055882353,0.065686275,124,10,1,1,1,
22,2,10,24.90210549,13.52034971,0.566223722,0.581784226,0.816837607,2.524305681,4.316001727,0.092030361,0.114800759,218,10,1,1,1,
23,2,11,24.90358125,13.23218015,0.611782471,0.807879128,1.20372549,3.577521859,5.889039828,0.1,0.155882353,261,10,1,1,1,
24,2,12,23.83372959,13.73918393,0.61230912,0.872769775,2.345626186,4.827414289,3.279745856,0.131878558,0.311195446,468,10,1,1,1,
25,3,1,25.04165416,15.94594132,0.725748416,0.848458352,4.199743833,7.823227404,3.90164404,0.115749526,0.596774194,752,10,1,1,1,
26,3,2,24.80915467,16.54605667,0.690351873,0.648946521,8.406465696,13.82026321,3.572104369,0.093555094,0.750519751,813,10,1,1,1,
27,3,3,25.5368317,16.52097909,0.578888384,0.669135069,8.835958254,13.80445489,2.590116911,0.093927894,0.714421252,852,10,1,1,1,
28,3,4,25.18935834,16.10256571,0.596746653,0.564199104,5.048764706,9.233803359,4.046930941,0.125490196,0.634313725,776,10,1,1,1,
29,3,5,25.15751415,15.17874752,0.589117461,0.580783722,1.38272296,3.582209376,5.733882485,0.155597723,0.336812144,520,10,1,1,1,
30,3,6,24.6788693,14.40413732,0.486724923,0.541786457,0.343660451,1.507665693,12.80805406,0.107843137,0.123529412,238,10,1,1,1,
31,3,7,24.85179424,13.98203397,0.61972993,0.614307937,0.16544592,0.710062355,10.31856166,0.062618596,0.092979127,164,10,1,1,1,
32,3,8,25.48855972,14.10311545,0.421699128,0.507818028,0.121404175,0.572973718,7.54388651,0.057874763,0.05313093,117,10,1,1,1,
33,3,9,26.21035878,14.31786418,0.532533889,0.455229084,0.317006869,1.303947675,7.222857766,0.078431373,0.098039216,180,10,1,1,1,
34,3,10,26.3823097,14.49708507,0.577514042,0.563322217,1.058518519,3.190866375,5.348120008,0.130929791,0.222011385,372,10,1,1,1,
35,3,11,26.53661993,14.48765204,0.560986566,0.764558122,1.253166667,3.471041659,5.043717081,0.111764706,0.292156863,412,10,1,1,1,
36,3,12,25.64164591,15.28560834,0.524801783,0.783698881,2.451119545,5.641337734,5.874537735,0.129981025,0.461100569,624,10,1,1,1,
37,4,1,30.76924711,20.77977684,0.479735662,0.970061159,1.774629981,4.075838357,3.89474157,0.164136622,0.294117647,484,10,1,1,1,
38,4,2,30.40766886,21.69744317,0.49651189,0.708902552,2.785821206,5.648425711,3.459443103,0.164241164,0.398128898,541,10,1,1,1,
39,4,3,30.69226567,21.42444621,0.568866063,0.792246931,2.706612903,5.831882588,3.850480996,0.185009488,0.388045541,604,10,1,1,1,
40,4,4,30.18604665,20.7911768,0.581925615,0.882661787,2.117794118,4.846058052,4.158645197,0.180392157,0.330392157,522,10,1,1,1,
41,4,5,29.616037,19.30483108,0.755614441,1.198465211,1.047685009,2.841500405,4.675594954,0.161290323,0.210626186,393,10,1,1,1,
42,4,6,28.54048024,17.59494487,0.910785038,0.964272102,0.499637255,1.671392961,6.11940595,0.117647059,0.131372549,254,10,1,1,1,
43,4,7,28.07072613,17.31994629,0.914952158,1.06109228,0.363633776,1.45601708,6.374556068,0.089184061,0.063567362,162,10,1,1,1,
44,4,8,28.48250522,17.20510885,0.674042419,0.907170971,0.288491461,1.393917768,10.81653544,0.081593928,0.068311195,158,10,1,1,1,
45,4,9,29.42627668,17.91749684,0.620832355,0.67718878,0.457193327,1.907524438,7.379627037,0.117647059,0.069607843,191,10,1,1,1,
46,4,10,29.85651588,18.29585775,0.580696593,0.741188681,1.461537002,4.092478649,4.704911589,0.14516129,0.205882353,370,10,1,1,1,
47,4,11,30.45973142,18.55618901,0.438219432,0.707718336,1.705882353,4.272152876,3.724751452,0.150980392,0.204901961,363,10,1,1,1,
48,4,12,30.93861908,19.80963834,0.39191981,1.040865268,1.747694497,3.849396112,4.023103462,0.152751423,0.313092979,492,10,1,1,1,
49,5,1,33.72286108,21.62984371,0.420217365,1.107756374,0.13658444,0.873557475,12.61488655,0.049335863,0.048387097,103,10,1,1,1,
50,5,2,34.50047821,23.13984272,0.359810442,0.795627004,0.67962578,2.992616419,6.917508709,0.088357588,0.127858628,208,10,1,1,1,
51,5,3,34.24649673,22.89999199,0.493975992,0.98056788,1.022789374,5.640433614,10.20147777,0.089184061,0.157495256,260,10,1,1,1,
52,5,4,32.60554949,21.490608,0.628971591,1.070559178,0.543852941,4.817104864,18.0709774,0.080392157,0.166666667,253,10,1,1,1,
53,5,5,30.53184727,19.69438426,0.984239924,1.489379005,0.055237192,0.427188395,18.02240182,0.029411765,0.067362429,102,10,1,1,1,
54,5,6,28.6347457,17.81792874,1.162579422,1.113519339,0.01468106,0.102607322,11.91953107,0.017647059,0.064705882,84,10,1,1,1,
55,5,7,27.82088137,16.91617423,1.082002369,1.165340042,0.01056926,0.122996222,24.81348658,0.010436433,0.059772296,74,10,1,1,1,
56,5,8,27.87965393,16.6507327,0.835597233,0.991618399,0.002836812,0.023687141,18.0099254,0.004743833,0.028462998,35,10,1,1,1,
57,5,9,29.0622308,16.90357542,0.761253855,0.73628673,0.005721295,0.036953548,12.77129733,0.003921569,0.058823529,64,10,1,1,1,
58,5,10,29.79103205,17.43211746,0.724554759,0.847016195,0.028149905,0.223244002,15.1905161,0.027514231,0.061669829,94,10,1,1,1,
59,5,11,30.58823527,17.96981838,0.609456658,0.794259,0.042401961,0.362222741,13.01353387,0.02745098,0.043137255,72,10,1,1,1,
60,5,12,32.26364957,19.95234368,0.552676373,1.21275909,0.254582543,2.552186402,15.66037545,0.045540797,0.05028463,101,10,1,1,1,
